port1,port2,ISO3_1,ISO3_2
0,1,0C,1C
0,2,0C,2C
0,3,0C,3C
0,4,0C,4C
0,5,0C,5C
0,6,0C,6C
0,7,0C,7C
0,8,0C,8C
0,9,0C,9C
0,10,0C,10C
0,11,0C,11C
0,12,0C,12C
0,13,0C,13C
0,14,0C,14C
0,15,0C,15C
0,16,0C,16C
0,17,0C,17C
0,18,0C,18C
0,19,0C,19C
0,20,0C,20C
0,21,0C,21C
0,22,0C,22C
0,24,0C,24C
0,25,0C,25C
0,34,0C,34C
0,37,0C,37C
0,38,0C,38C
0,39,0C,39C
0,42,0C,42C
0,44,0C,44C
0,46,0C,46C
0,47,0C,47C
0,51,0C,51C
0,56,0C,56C
0,59,0C,59C
0,61,0C,61C
0,64,0C,64C
0,67,0C,67C
0,71,0C,71C
0,72,0C,72C
0,75,0C,75C
0,76,0C,76C
0,77,0C,77C
0,78,0C,78C
0,79,0C,79C
0,82,0C,82C
0,93,0C,93C
0,97,0C,97C
0,99,0C,99C
1,11,1C,11C
1,12,1C,12C
1,13,1C,13C
1,14,1C,14C
1,15,1C,15C
1,16,1C,16C
1,18,1C,18C
1,21,1C,21C
1,22,1C,22C
1,24,1C,24C
1,25,1C,25C
1,27,1C,27C
1,29,1C,29C
1,33,1C,33C
1,35,1C,35C
1,38,1C,38C
1,47,1C,47C
1,49,1C,49C
1,57,1C,57C
1,61,1C,61C
1,63,1C,63C
1,65,1C,65C
1,74,1C,74C
1,77,1C,77C
1,79,1C,79C
2,11,2C,11C
2,12,2C,12C
2,13,2C,13C
2,15,2C,15C
2,17,2C,17C
2,29,2C,29C
2,46,2C,46C
2,47,2C,47C
2,49,2C,49C
2,53,2C,53C
2,60,2C,60C
3,12,3C,12C
3,13,3C,13C
3,16,3C,16C
3,17,3C,17C
3,18,3C,18C
3,20,3C,20C
3,26,3C,26C
3,30,3C,30C
3,31,3C,31C
3,44,3C,44C
3,46,3C,46C
3,60,3C,60C
3,70,3C,70C
3,72,3C,72C
4,11,4C,11C
4,13,4C,13C
4,14,4C,14C
4,15,4C,15C
4,21,4C,21C
4,22,4C,22C
4,41,4C,41C
4,71,4C,71C
4,72,4C,72C
