ports,ISO3
0,0C
1,1C
2,2C
3,3C
4,4C
5,5C
6,6C
7,7C
8,8C
9,9C
10,10C
11,11C
12,12C
13,13C
14,14C
15,15C
16,16C
17,17C
18,18C
19,19C
20,20C
21,21C
22,22C
23,23C
24,24C
25,25C
26,26C
27,27C
28,28C
29,29C
30,30C
31,31C
32,32C
33,33C
34,34C
35,35C
36,36C
37,37C
38,38C
39,39C
40,40C
41,41C
42,42C
43,43C
44,44C
45,45C
46,46C
47,47C
48,48C
49,49C
50,50C
51,51C
52,52C
53,53C
54,54C
55,55C
56,56C
57,57C
58,58C
59,59C
60,60C
61,61C
62,62C
63,63C
64,64C
65,65C
66,66C
67,67C
68,68C
69,69C
70,70C
71,71C
72,72C
73,73C
74,74C
75,75C
76,76C
77,77C
78,78C
79,79C
80,80C
81,81C
82,82C
83,83C
84,84C
85,85C
86,86C
87,87C
88,88C
89,89C
90,90C
91,91C
92,92C
93,93C
94,94C
95,95C
96,96C
97,97C
98,98C
99,99C
