ISO3,R1_MLL,R2_MLL,R1,R2,R1_improve_rate,R2_improve_rate,number of domestic ports,number of international links
FJI,0.41014333,1.943078453,0.410211687,1.279672928,0,0.518418035,2,92
PRT,3.715673649,8.880093541,1.067359427,7.329357461,2.481183147,0.211578721,9,261
NRU,0.775598677,0.815772627,0.178658214,0.178762693,3.341242754,3.563438899,1,3
KNA,0.32337376,0.923493377,0.323098126,0.38542936,0.000853096,1.396012015,1,32
CPV,3.491807056,4.801402439,1.613180816,2.417383592,1.164547843,0.986197993,5,28
GIN,0.302315325,0.538896247,0.303211687,0.509369757,0,0.057966712,1,34
FRO,1.163401323,1.950148066,0.962246968,1.190090608,0.209046494,0.638655119,2,27
THA,1.28099118,2.477307863,0.880206174,1.578601329,0.455330828,0.569305573,4,175
MYT,0.5517828,0.960461369,0.388009923,0.472643488,0.42208425,1.032105367,1,15
DNK,2.98376957,5.368893452,2.898517089,4.630921199,0.029412447,0.159357549,6,97
GLP,0.288974642,0.964839956,0.289364939,0.40611479,0,1.375781379,1,36
BRB,0.21323043,0.962078366,0.213416759,0.385514349,0,1.495570837,1,45
JPN,14.49481588,60.1620792,13.35164388,52.36013593,0.085620318,0.149005405,61,1087
HRV,1.692992282,2.870780973,1.090562293,1.111553097,0.552403098,1.582675521,3,43
BMU,0.915880926,0.959174393,0.108671444,0.155818985,7.42798156,5.155696579,1,3
TON,1.160726571,1.791900552,0.694315325,0.695732597,0.671757096,1.575559288,2,27
UKR,1.167112459,2.893496681,0.868111356,1.031030973,0.34442713,1.806411017,3,71
EST,1.198848953,1.951469613,0.940950386,1.042125967,0.274083066,0.872585153,2,26
MUS,0.148401323,0.977975717,0.147673649,0.524677704,0.004927582,0.863955167,1,56
ARE,4.35816538,9.833801561,2.827282249,8.680512821,0.541468094,0.132859517,10,243
IDN,9.007331863,23.45354875,6.659940463,19.356661,0.352464322,0.211652606,25,166
KIR,0.922932745,1.2572,0.656435502,0.71741547,0.40597628,0.752401576,2,28
IND,7.09646086,17.62479415,5.285149945,13.40455343,0.342717034,0.314836353,18,356
JOR,0.279162073,0.958290287,0.279052922,0.49063245,0.000391147,0.953173474,1,37
