,ISO3,R1
0,FJI,0.410211687
1,PRT,1.067359427
2,NRU,0.178658214
3,KNA,0.323098126
4,CPV,1.613180816
5,GIN,0.303211687
6,FRO,0.962246968
7,THA,0.880206174
8,MYT,0.388009923
9,DNK,2.898517089
10,GLP,0.289364939
11,BRB,0.213416759
12,JPN,13.35164388
13,HRV,1.090562293
14,BMU,0.108671444
15,TON,0.694315325
16,UKR,0.868111356
17,EST,0.940950386
18,MUS,0.147673649
19,ARE,2.827282249
20,IDN,6.659940463
21,KIR,0.656435502
22,IND,5.285149945
23,JOR,0.279052922
24,PAN,0.608571114
25,DOM,1.126826902
26,CHL,3.851284454
27,MMR,0.297090408
28,ISL,4.352992282
29,HTI,1.081305402
30,TCA,0.652972437
31,RUS,5.350656009
32,NZL,3.222875413
33,PLW,0.347157663
34,NGA,0.986273429
35,AGO,1.531153252
36,CAN,2.405015436
37,BGR,0.578740904
38,NLD,2.785241455
39,GUY,0.386070562
40,GRL,7.819853363
41,MOZ,1.851592062
42,JAM,0.432928335
43,MAR,0.7966957
44,VCT,0.213323043
45,GRC,1.155041896
46,SXM,0.204167585
47,TUN,1.583674752
48,MNE,0.370497244
49,DMA,0.264690187
50,TKL,0.927833517
51,JEY,0.151273429
52,AUS,3.795984564
53,FIN,3.685853363
54,BGD,0.594180816
55,PRY,0.169832415
56,SWE,8.314801544
57,IRN,2.287971334
58,COG,0.143309813
59,FLK,0.121287762
60,ROU,0.289370452
61,CYM,0.322886439
62,SLV,0.370338479
63,CYP,0.499241455
64,NCL,0.525755237
65,EGY,0.983285557
66,CIV,0.463383682
67,GUF,0.386070562
68,VIR,0.652972437
69,LBN,0.503519294
70,TGO,0.107433297
71,CMR,0.601692393
72,BLZ,0.772141125
73,DEU,1.721120176
74,YEM,1.360359427
75,SYR,0.772141125
76,PAK,0.794100331
77,MDG,2.714257993
78,ISR,0.192390298
79,TLS,0.347157663
80,GIB,0.386070562
81,MRT,0.767259096
82,CUB,1.72291731
83,LBY,2.091047409
84,SUR,0.386070562
85,MNP,0.347157663
86,PER,1.63054355
87,GHA,0.484237045
88,TZA,0.987598677
89,MDV,0.386198456
90,LTU,0.147753032
91,SOM,1.229472988
92,SDN,0.453453142
93,HND,1.465115766
94,LVA,0.653030871
95,STP,0.386198456
96,CRI,0.686920617
97,CHN,10.75286218
98,MLT,0.03693495
99,ABW,0.386070562
100,ZAF,0.853148842
101,FRA,3.081905182
102,BRN,0.297090408
103,LCA,0.539568908
104,SVN,0.241467475
105,IRQ,1.544796031
106,PNG,3.210546858
107,QAT,0.881319735
108,LKA,0.04244763
109,ITA,4.277237045
110,GTM,0.47515656
111,MTQ,0.213486218
112,COK,0.694315325
113,BHS,3.670146637
114,LBR,0.406726571
115,COL,1.806083793
116,BLM,0.326486218
117,ARG,2.715416759
118,SGP,0.004961411
119,MHL,1.041472988
120,COM,0.776019846
121,GGY,0.301102536
122,USA,8.635436604
123,OMN,0.518142227
124,ATG,0.326486218
125,MYS,3.207276736
126,GMB,0.264627343
127,DJI,0.182463065
128,ALB,0.370497244
129,KHM,0.297090408
130,ECU,1.022572216
131,TUV,0.347157663
132,BHR,0.370542448
133,COD,1.158595369
134,GAB,0.710280044
135,BRA,4.667461963
136,URY,0.932981257
137,TUR,2.284200662
138,VGB,0.326486218
139,PRI,0.279011025
140,SLB,0.525815877
141,KWT,0.772396913
142,ERI,0.453453142
143,SAU,0.630420066
144,FSM,1.38863065
145,BEL,0.787063947
146,PHL,5.774314223
147,WSM,0.309277839
148,IRL,1.163428886
149,BEN,0.135113561
150,GNB,0.322636163
151,GUM,0.347157663
152,POL,0.879102536
153,VNM,1.644039691
154,VUT,0.694315325
155,GBR,6.367336273
156,KOR,2.473959206
157,ESP,7.268455347
158,PYF,0.708276736
159,CUW,0.386070562
160,NIC,0.756409041
161,GEO,0.578740904
162,SLE,0.482652701
163,SYC,0.386198456
164,NIU,0.347157663
165,GRD,0.235858875
166,NAM,0.665410143
167,VEN,2.41013892
168,KEN,0.161186329
169,WLF,0.694315325
170,ASM,0.347157663
171,SEN,0.125113561
172,GNQ,0.733220507
173,TTO,0.169772878
174,CXR,0.195339581
175,AIA,0.326486218
176,REU,0.203962514
177,MEX,4.46813892
178,NOR,17.43086108
179,DZA,3.020404631
