id,LCC-degree,LCC-eigenvector,LCC-keep-degree,LCC-MC,LCC-Random
0,907,907,907,907,907
1,906,906,906,906,905.966
2,905,905,905,905,904.943
3,904,904,904,904,903.922
4,903,903,903,903,902.898
5,902,902,902,902,901.884
6,901,901,901,901,900.865
7,900,900,900,900,899.844
8,899,899,899,899,898.828
9,898,898,898,898,897.796
10,897,897,897,897,896.765
11,896,896,896,896,895.732
12,895,895,895,895,894.704
13,893,894,893,893,893.676
14,892,893,892,892,892.653
15,891,891,891,891,891.632
16,890,890,890,890,890.613
17,889,889,889,889,889.59
18,888,888,888,888,888.575
19,887,887,887,887,887.552
20,886,886,886,886,886.524
21,885,882,885,885,885.506
22,884,881,884,884,884.493
23,883,880,883,883,883.476
24,882,879,882,882,882.444
25,881,878,881,881,881.428
26,880,877,880,880,880.393
27,879,876,879,879,879.34
28,878,875,878,878,878.303
29,877,874,877,877,877.283
30,876,873,876,876,876.262
31,873.578,872,875,875,875.247
32,871,871,871,874,874.214
33,870,870,870,870,873.193
34,869,869,869,869,872.181
35,868,868,868,868,871.151
36,867,867,867,867,870.132
37,866,866,866,866,869.099
38,865,865,865,865,868.07
39,864,864,862,862,867.046
40,863,863,861,861,866.022
41,861,862,860,860,865.008
42,860,861,858,858,863.974
43,857,860,857,857,862.927
44,856,859,856,856,861.897
45,855,858,855,855,860.859
46,854,856,854,854,859.824
47,853,855,853,853,858.799
48,852,853,852,852,857.77
49,851,852,851,851,856.75
50,850,851,850,850,855.729
51,849,850,849,849,854.714
52,848,849,848,848,853.693
53,847,848,847,847,852.671
54,846,847,845.497,846,851.642
55,845,846,844.497,845,850.62
56,844,845,843.497,844,849.584
57,843,844,842.497,843,848.557
58,842,843,841.497,842,847.528
59,841,842,840.497,841,846.501
60,840,841,839.497,840,845.472
61,838.658,840,838.497,839,844.447
62,837.318,839,837.497,838,843.421
63,836,838,836.497,836,842.403
64,835,837,835.497,835,841.386
65,834,836,834.497,834,840.374
66,833,835,833.497,833,839.352
67,832,834,832,832,838.311
68,831,833,831,831,837.281
69,830,832,830,830,836.248
70,829,831,829,829,835.218
71,828,830,828,828,834.171
72,827,829,827,825,833.151
73,826,828,826,824,832.114
74,825,827,823,823,831.096
75,824,825,822,822,830.059
76,823,822,821,821,829.036
77,822,821,820,816,828.006
78,821,817,819,815,826.991
79,820,816,817.754,814,825.953
80,818.366,815,816.754,813,824.924
81,816.654,814,815.754,812,823.903
82,815,813,814.754,810,822.875
83,814,812,813.754,809,821.856
84,813,810,812.754,807,820.833
85,810.43,809,811.754,806,819.797
86,807.65,806,810.754,805,818.777
87,805,805,804.754,804,817.754
88,804,804,803.754,803,816.71
89,803,803,802.754,802,815.69
90,802,802,801.754,801,814.651
91,801,799,799.754,800,813.632
92,800,798,798.429,799,812.611
93,799,797,797.429,798,811.58
94,798,796,796.429,796,810.553
95,797,795,795.429,795,809.528
96,795.809,794,794.429,794,808.51
97,794.582,792,793,793,807.467
98,793.375,791,792,792,806.435
99,792.179,789,791,789,805.401
100,791,788,790,788,804.372
101,789.501,787,788.674,787,803.341
102,788,786,785.674,786,802.308
103,786.519,785,784.674,785,801.272
104,785,784,783.077,784,800.241
105,784,781,782.077,783,799.194
106,782.406,780,781.077,782,798.176
107,780.684,779,780.077,781,797.149
108,779,778,779.077,780,796.125
109,777.751,777,777.987,779,795.114
110,776.504,776,776.987,776,794.093
111,775.247,775,775.987,774,793.06
112,774,774,774.894,773,792.039
113,773,773,773.476,772,791.006
114,772,772,772.476,770,789.972
115,771,771,771.476,769,788.958
116,770,769,770.476,768,787.934
117,769,768,769.476,767,786.894
118,768,767,767.708,766,785.867
119,767,766,766.708,765,784.836
120,765.752,765,764.708,764,783.799
121,764.48,764,763.708,763,782.77
122,763.186,763,762.708,759,781.725
123,761.918,762,761.605,758,780.694
124,760.59,760,759.931,757,779.649
125,759.31,759,758.931,755,778.61
126,758,758,757.233,754,777.588
127,757,756,755.938,753,776.543
128,756,755,754.842,752,775.495
129,755,754,753.842,751,774.469
130,753.48,753,752.842,749,773.424
131,752,752,751.842,748,772.396
132,750.439,749,750.842,747,771.365
133,748.968,748,749.842,746,770.327
134,747.461,746,748.62,745,769.273
135,745.993,745,747.247,744,768.232
136,744.489,743,746.247,743,767.201
137,743,742,743.801,742,766.17
