ports,MC,degree,eigenvector,betweenness,ISO3
0,2108593.333,230,0.125559031,0.048349356,BEL
1,3696317.833,277,0.134151687,0.121355473,NLD
2,890728.1667,161,0.089700004,0.040129535,DEU
3,183648.6667,94,0.086954287,0.002780881,USA
4,223102.1667,101,0.088784235,0.00344958,USA
5,201938.6667,96,0.071370122,0.008136817,USA
6,120044.6667,73,0.065563358,0.002320786,GBR
7,953826.3333,171,0.111222961,0.027010973,FRA
8,411288.5,128,0.101302618,0.013751459,USA
9,37849,50,0.049623275,0.000356206,USA
10,354337.6667,119,0.098636825,0.006282066,USA
11,45570.5,56,0.039351468,0.000996399,MEX
12,64271.5,63,0.040236804,0.001996383,MEX
13,99225.5,71,0.054924582,0.002766948,USA
14,19313.5,32,0.030951523,0.001617382,USA
15,224979.6667,92,0.05716789,0.03429941,BHS
16,17853.33333,33,0.023622592,0.000378336,GBR
17,221166.3333,98,0.042938752,0.01857515,USA
18,8033.666667,19,0.019061033,0.00307382,USA
19,61445.66667,58,0.037633478,0.002388875,USA
20,2472427.667,240,0.124927488,0.069838704,DEU
21,638788.3333,145,0.090776913,0.01445808,GBR
22,75275.83333,54,0.039703324,0.012802541,CAN
23,3362.333333,13,0.008429438,0.00617305,MEX
24,63058.83333,56,0.056877174,0.007649933,GBR
25,427666.3333,126,0.078336043,0.012572103,COL
26,161381.3333,84,0.070069124,0.005054677,PAN
27,74733.16667,59,0.055143455,0.003479664,USA
28,132035.3333,76,0.070309412,0.003446637,USA
29,63643,57,0.057755747,0.001049338,USA
30,147885.8333,79,0.072161859,0.002615284,CAN
31,160003.5,86,0.066316454,0.005318438,DOM
32,137430.1667,74,0.056216586,0.00873901,USA
33,6255.833333,20,0.02019234,0.000146724,USA
34,13143.83333,30,0.026381743,0.000868265,CAN
35,729345.1667,157,0.102509065,0.016599739,ESP
36,2417128.5,243,0.148389267,0.056266615,SGP
37,2028704.167,230,0.15087305,0.029934077,CHN
38,4014008.333,293,0.169261589,0.054626125,CHN
39,1774795.667,217,0.136288061,0.026430708,CHN
40,3872051.167,289,0.161000199,0.069451864,KOR
41,3183317,270,0.163822644,0.040169935,CHN
42,676403.5,147,0.102574885,0.016968432,MYS
43,554098.6667,141,0.098096643,0.010249697,MAR
44,149621.5,85,0.076485545,0.004787245,OMN
45,567763,140,0.093609373,0.041664332,ARE
46,90897.5,67,0.066495547,0.001458163,VNM
47,204777.5,96,0.074020802,0.00302462,PRT
48,852774.8333,162,0.104037599,0.015858694,CHN
49,509605.6667,133,0.083651792,0.014465452,CHN
50,278391.3333,108,0.083815574,0.009331721,GRC
51,29647.66667,37,0.033438549,0.001418984,BEL
52,1582386,208,0.1311666,0.025125279,CHN
53,685554.8333,150,0.100928284,0.012107374,CHN
54,926428,169,0.114484565,0.015947277,MYS
55,397661.6667,124,0.09096155,0.011048073,MLT
56,187437.3333,93,0.081602243,0.007133345,SAU
57,906349.5,168,0.120210338,0.016652375,CHN
58,1099776.667,180,0.118134628,0.020105621,CHN
59,274017,110,0.09369401,0.005858727,LKA
60,207036.8333,96,0.077726808,0.004232963,THA
61,636713.5,151,0.106232338,0.010817927,ITA
62,264905.5,106,0.075743997,0.010605864,TUR
63,28507.16667,35,0.032732466,0.002594028,IRN
64,45809.66667,54,0.028870453,0.001294877,LBY
65,25535.66667,46,0.048475033,0.000902793,PAK
66,160015.3333,91,0.083315848,0.003091789,IND
67,165146,89,0.076220895,0.005687413,IND
68,27413.83333,38,0.036376401,0.000763584,DEU
69,37536,44,0.031067269,0.000846321,ESP
70,58268.33333,60,0.056054591,0.002503503,SAU
71,569239,143,0.102834402,0.012403861,ESP
72,43152,50,0.04456709,0.002061298,DJI
